iter	Quantile:alpha=0.9
0	0.2425605296
1	0.2336037246
2	0.224051139
3	0.2154784587
4	0.2070733889
5	0.2005646029
6	0.195312792
7	0.1898950866
8	0.1848503971
9	0.1799807977
10	0.1759765249
11	0.1720490276
12	0.1684810458
13	0.1655333487
14	0.1623792551
15	0.1595684124
16	0.1570207558
17	0.1537789129
18	0.1512426207
19	0.1488808112
20	0.1466094926
21	0.144498464
22	0.1431042297
23	0.1414638399
24	0.1396378632
25	0.1382859584
26	0.1362329116
27	0.1346050524
28	0.1332865633
29	0.1317342204
30	0.1304118211
31	0.1288662898
32	0.1276384446
33	0.1265980086
34	0.1251252056
35	0.1241343854
36	0.1228842145
37	0.121738685
38	0.1208214235
39	0.1199448048
40	0.1191093863
41	0.1182623829
42	0.1174721513
43	0.1165956593
44	0.1157431925
45	0.1146581285
46	0.1137257932
47	0.1127373235
48	0.1117002294
49	0.1106751021
50	0.109551818
51	0.1085483698
52	0.1077305821
53	0.106838117
54	0.1059372675
55	0.1052311681
56	0.1044524914
57	0.1037196355
58	0.1029728678
59	0.1021809409
60	0.1016539823
61	0.1009516142
62	0.1003382349
63	0.0997641833
64	0.09917998735
65	0.09866741472
66	0.09818061063
67	0.09772802905
68	0.09729886354
69	0.09673508279
70	0.09624201175
71	0.09571569965
72	0.09513769623
73	0.09472808035
74	0.09431217188
75	0.09400991903
76	0.09351589979
77	0.09303321013
78	0.09269759683
79	0.09225485636
80	0.09191066438
81	0.09151101624
82	0.09121958513
83	0.09085765143
84	0.09053161786
85	0.09020633372
86	0.08991628585
87	0.0896455534
88	0.08936558363
89	0.08906309224
90	0.08874819413
91	0.08859909208
92	0.08838624512
93	0.08817625412
94	0.08798048244
95	0.08775319288
96	0.08761871114
97	0.08735147679
98	0.08721991546
99	0.08711163987
100	0.08699868173
101	0.08681356473
102	0.0866282378
103	0.08643749858
104	0.08623440096
105	0.08600874531
106	0.08592243381
107	0.08573613317
108	0.08556794857
109	0.08550081532
110	0.08532593466
111	0.08525313767
112	0.08510851643
113	0.08503750402
114	0.08486707566
115	0.08473947304
116	0.08467688133
117	0.08460977934
118	0.08448511004
119	0.08443618859
120	0.08431646298
121	0.08421473683
122	0.0841051638
123	0.08406158837
124	0.08398246725
125	0.08388526034
126	0.08374009218
127	0.08367940724
128	0.08355516755
129	0.08344964181
130	0.08337577597
131	0.08328049015
132	0.08318182332
133	0.08312571322
134	0.08300678149
135	0.08290912019
136	0.08283806661
137	0.082756024
138	0.0826879044
139	0.08263444256
140	0.08256596276
141	0.08250697503
142	0.08246257457
143	0.08237599484
144	0.08232442203
145	0.08225719695
146	0.08221100635
147	0.0821642566
148	0.08212956381
149	0.08207578353
150	0.08203788493
151	0.08195361536
152	0.08191574803
153	0.08188750117
154	0.08184948362
155	0.08176346866
156	0.08172967581
157	0.08167091048
158	0.08164339051
159	0.08161577677
160	0.08157829279
161	0.08151532703
162	0.08149689594
163	0.08147391186
164	0.08142329612
165	0.08139865236
